year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Chris Kirk,0.653,0.086,0.369,0.205,-0.006,285.9,62.02,64.05,70.92,1762335.0,54.0,0.6599999999999999
2016,Chris Stroud,0.121,-0.069,0.159,-0.119,0.15,286.3,60.7,66.6,71.101,599176.0,134.0,-0.028999999999999998
2016,Colt Knost,0.318,-0.294,0.228,-0.131,0.395,269.7,73.36,65.25,70.785,1594587.0,79.0,-0.19699999999999998
2016,D.A. Points,-0.406,-0.492,0.64,0.041,-0.596,282.3,59.47,65.36,71.655,305250.0,,0.18900000000000003
2016,D.H. Lee,-1.778,-0.51,-1.318,0.007,0.042,280.4,60.85,60.14,73.415,174683.0,,-1.8210000000000002
2016,D.J. Trahan,,,,,,,,,,225751.0,,
2016,Daniel Berger,0.893,0.329,0.49,-0.1,0.175,298.4,56.68,67.67,70.339,3290764.0,26.0,0.719
2016,Daniel Summerhays,0.236,-0.126,-0.257,0.027,0.592,288.0,58.65,63.02,70.771,2045968.0,65.0,-0.356
2016,Danny Lee,0.268,0.108,0.205,0.02,-0.221,286.6,64.05,63.95,71.118,1405722.0,92.0,0.333
2016,Danny Willett,,,,,,,,,,1938132.0,93.0,
2016,Darren Clarke,,,,,,,,,,51489.0,,
2016,Darron Stiles,,,,,,,,,,60197.0,,
2016,David Hearn,0.525,-0.303,0.532,0.081,0.214,281.2,65.94,68.25,70.87,1211514.0,56.0,0.31000000000000005
2016,David Lingmerth,0.261,0.193,0.116,-0.103,0.055,284.8,67.36,63.99,71.05,1863783.0,67.0,0.20600000000000002
2016,David Toms,0.38,-0.39,0.36,0.278,0.132,269.7,67.98,65.5,70.872,774522.0,124.0,0.248
2016,Davis Love III,,,,,,,,,,222422.0,,
2016,Dawie van der Walt,-0.274,-0.013,0.21,-0.41,-0.061,290.2,56.89,66.75,71.376,301697.0,,-0.213
2016,Derek Ernst,-0.683,0.152,-0.291,0.012,-0.556,294.6,60.1,66.18,72.075,190736.0,,-0.12699999999999997
2016,Derek Fathauer,-0.435,-0.538,-0.25,-0.026,0.356,288.2,52.02,62.0,71.073,898430.0,100.0,-0.8140000000000001
2016,Dicky Pride,-0.83,-0.212,-0.856,0.094,0.144,278.9,65.86,60.9,72.102,101456.0,,-0.9740000000000001
2016,Dustin Johnson,1.928,1.117,0.43,0.066,0.281,313.6,57.17,67.82,69.172,9365185.0,2.0,1.613
2016,Emiliano Grillo,0.479,0.446,0.255,-0.167,-0.056,294.3,66.93,68.52,70.637,3371705.0,11.0,0.534
2016,Eric Axley,,,,,,,,,,71563.0,,
