year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Augusto Núñez,-0.679,0.111,-0.196,-0.073,-0.522,310.0,56.38,68.5,71.834,382748.0,170.0,-0.158
2023,Austin Cook,-0.757,-0.564,-0.319,0.261,-0.135,282.3,65.28,65.16,71.611,647085.0,176.0,-0.622
2023,Austin Eckroat,0.432,0.363,0.015,-0.049,0.103,301.1,64.32,67.35,70.692,2476429.0,74.0,0.329
2023,Austin Smotherman,-0.335,0.016,-0.063,-0.284,-0.004,300.4,62.55,66.44,71.37,957049.0,125.0,-0.33099999999999996
2023,Beau Hossler,0.45,0.23,-0.263,0.259,0.224,305.3,57.65,66.87,70.398,3586109.0,58.0,0.226
2023,Ben Crane,,,,,,,,,,71025.0,225.0,
2023,Ben Griffin,0.684,-0.066,0.086,0.33,0.334,300.1,56.03,66.9,70.286,2897799.0,63.0,0.35
2023,Ben Martin,0.065,0.048,0.318,-0.33,0.028,293.9,62.49,68.23,70.936,1379841.0,113.0,0.035999999999999976
2023,Ben Taylor,-0.122,-0.452,-0.085,0.033,0.381,304.1,50.44,64.78,71.486,1912677.0,75.0,-0.504
2023,Bill Haas,,,,,,,,,,170817.0,205.0,
2023,Billy Horschel,0.028,-0.224,-0.122,0.048,0.326,298.5,62.56,64.06,71.042,1810825.0,90.0,-0.298
2023,Bo Van Pelt,,,,,,,,,,11172.0,236.0,
2023,Brandon Matthews,-2.202,-0.029,-0.209,-0.893,-1.072,321.3,47.38,64.41,73.153,265711.0,192.0,-1.131
2023,Brandon Wu,0.107,0.159,0.113,-0.004,-0.161,295.7,61.64,68.65,70.72,2622608.0,57.0,0.268
2023,Brandt Snedeker,,,,,,,,,,167113.0,215.0,
2023,Brendan Steele,,,,,,,,,,350609.0,181.0,
2023,Brendon Todd,0.735,-0.348,0.2,0.454,0.441,282.0,67.92,66.19,70.321,3935870.0,47.0,0.30600000000000005
